Unnamed: 0,Income,Lot_Size,Ownership
4.0,61.5,20.8,owner
23.0,51.0,14.0,non-owner
4.1,61.5,20.8,owner
24.0,63.0,14.8,non-owner
6.0,110.1,19.2,owner
5.0,87.0,23.6,owner
2.0,85.5,16.8,owner
16.0,43.2,20.4,non-owner
1.0,60.0,18.4,owner
21.0,47.4,16.4,non-owner
24.1,63.0,14.8,non-owner
4.2,61.5,20.8,owner
17.0,84.0,17.6,non-owner
7.0,108.0,17.6,owner
6.1,110.1,19.2,owner
6.2,110.1,19.2,owner
11.0,51.0,22.0,owner
14.0,52.8,20.8,non-owner
18.0,49.2,17.6,non-owner
13.0,75.0,19.6,non-owner
16.1,43.2,20.4,non-owner
16.2,43.2,20.4,non-owner
2.1,85.5,16.8,owner
4.3,61.5,20.8,owner
15.0,64.8,17.2,non-owner
22.0,33.0,18.8,non-owner
6.3,110.1,19.2,owner
10.0,93.0,20.8,owner
15.1,64.8,17.2,non-owner
13.1,75.0,19.6,non-owner
18.1,49.2,17.6,non-owner
6.4,110.1,19.2,owner
18.2,49.2,17.6,non-owner
4.4,61.5,20.8,owner
16.3,43.2,20.4,non-owner
17.1,84.0,17.6,non-owner
8.0,82.8,22.4,owner
5.1,87.0,23.6,owner
7.1,108.0,17.6,owner
12.0,81.0,20.0,owner
4.5,61.5,20.8,owner
7.2,108.0,17.6,owner
13.2,75.0,19.6,non-owner
16.4,43.2,20.4,non-owner
20.0,66.0,18.4,non-owner
1.1,60.0,18.4,owner
7.3,108.0,17.6,owner
17.2,84.0,17.6,non-owner
23.1,51.0,14.0,non-owner
2.2,85.5,16.8,owner
24.2,63.0,14.8,non-owner
9.0,69.0,20.0,owner
11.1,51.0,22.0,owner
17.3,84.0,17.6,non-owner
4.6,61.5,20.8,owner
13.3,75.0,19.6,non-owner
5.2,87.0,23.6,owner
17.4,84.0,17.6,non-owner
3.0,64.8,21.6,owner
10.1,93.0,20.8,owner
8.1,82.8,22.4,owner
2.3,85.5,16.8,owner
10.2,93.0,20.8,owner
22.1,33.0,18.8,non-owner
22.2,33.0,18.8,non-owner
22.3,33.0,18.8,non-owner
20.1,66.0,18.4,non-owner
23.2,51.0,14.0,non-owner
15.2,64.8,17.2,non-owner
4.7,61.5,20.8,owner
18.3,49.2,17.6,non-owner
5.3,87.0,23.6,owner
4.8,61.5,20.8,owner
16.5,43.2,20.4,non-owner
1.2,60.0,18.4,owner
14.1,52.8,20.8,non-owner
11.2,51.0,22.0,owner
22.4,33.0,18.8,non-owner
20.2,66.0,18.4,non-owner
1.3,60.0,18.4,owner
10.3,93.0,20.8,owner
14.2,52.8,20.8,non-owner
14.3,52.8,20.8,non-owner
18.4,49.2,17.6,non-owner
19.0,59.4,16.0,non-owner
5.4,87.0,23.6,owner
6.5,110.1,19.2,owner
21.1,47.4,16.4,non-owner
10.4,93.0,20.8,owner
10.5,93.0,20.8,owner
22.5,33.0,18.8,non-owner
17.5,84.0,17.6,non-owner
18.5,49.2,17.6,non-owner
9.1,69.0,20.0,owner
14.4,52.8,20.8,non-owner
8.2,82.8,22.4,owner
22.6,33.0,18.8,non-owner
17.6,84.0,17.6,non-owner
5.5,87.0,23.6,owner
3.1,64.8,21.6,owner
1.4,60.0,18.4,owner
16.6,43.2,20.4,non-owner
20.3,66.0,18.4,non-owner
17.7,84.0,17.6,non-owner
24.3,63.0,14.8,non-owner
10.6,93.0,20.8,owner
15.3,64.8,17.2,non-owner
11.3,51.0,22.0,owner
9.2,69.0,20.0,owner
13.4,75.0,19.6,non-owner
21.2,47.4,16.4,non-owner
14.5,52.8,20.8,non-owner
14.6,52.8,20.8,non-owner
2.4,85.5,16.8,owner
18.6,49.2,17.6,non-owner
13.5,75.0,19.6,non-owner
18.7,49.2,17.6,non-owner
15.4,64.8,17.2,non-owner
5.6,87.0,23.6,owner
6.6,110.1,19.2,owner
17.8,84.0,17.6,non-owner
17.9,84.0,17.6,non-owner
9.3,69.0,20.0,owner
21.3,47.4,16.4,non-owner
14.7,52.8,20.8,non-owner
1.5,60.0,18.4,owner
6.7,110.1,19.2,owner
21.4,47.4,16.4,non-owner
21.5,47.4,16.4,non-owner
15.5,64.8,17.2,non-owner
7.4,108.0,17.6,owner
7.5,108.0,17.6,owner
17.1,84.0,17.6,non-owner
24.4,63.0,14.8,non-owner
22.7,33.0,18.8,non-owner
18.8,49.2,17.6,non-owner
15.6,64.8,17.2,non-owner
22.8,33.0,18.8,non-owner
17.11,84.0,17.6,non-owner
1.6,60.0,18.4,owner
11.4,51.0,22.0,owner
18.9,49.2,17.6,non-owner
17.12,84.0,17.6,non-owner
19.1,59.4,16.0,non-owner
14.8,52.8,20.8,non-owner
7.6,108.0,17.6,owner
7.7,108.0,17.6,owner
2.5,85.5,16.8,owner
10.7,93.0,20.8,owner
9.4,69.0,20.0,owner
19.2,59.4,16.0,non-owner
20.4,66.0,18.4,non-owner
20.5,66.0,18.4,non-owner
14.9,52.8,20.8,non-owner
17.13,84.0,17.6,non-owner
12.1,81.0,20.0,owner
15.7,64.8,17.2,non-owner
18.1,49.2,17.6,non-owner
1.7,60.0,18.4,owner
17.14,84.0,17.6,non-owner
18.11,49.2,17.6,non-owner
2.6,85.5,16.8,owner
2.7,85.5,16.8,owner
15.8,64.8,17.2,non-owner
7.8,108.0,17.6,owner
6.8,110.1,19.2,owner
7.9,108.0,17.6,owner
10.8,93.0,20.8,owner
1.8,60.0,18.4,owner
18.12,49.2,17.6,non-owner
23.3,51.0,14.0,non-owner
17.15,84.0,17.6,non-owner
9.5,69.0,20.0,owner
20.6,66.0,18.4,non-owner
19.3,59.4,16.0,non-owner
21.6,47.4,16.4,non-owner
2.8,85.5,16.8,owner
22.9,33.0,18.8,non-owner
13.6,75.0,19.6,non-owner
12.2,81.0,20.0,owner
8.3,82.8,22.4,owner
17.16,84.0,17.6,non-owner
5.7,87.0,23.6,owner
9.6,69.0,20.0,owner
16.7,43.2,20.4,non-owner
15.9,64.8,17.2,non-owner
18.13,49.2,17.6,non-owner
13.7,75.0,19.6,non-owner
6.9,110.1,19.2,owner
15.1,64.8,17.2,non-owner
22.1,33.0,18.8,non-owner
7.1,108.0,17.6,owner
7.11,108.0,17.6,owner
22.11,33.0,18.8,non-owner
20.7,66.0,18.4,non-owner
3.2,64.8,21.6,owner
1.9,60.0,18.4,owner
23.4,51.0,14.0,non-owner
8.4,82.8,22.4,owner
21.7,47.4,16.4,non-owner
21.8,47.4,16.4,non-owner
10.9,93.0,20.8,owner
4.9,61.5,20.8,owner
7.12,108.0,17.6,owner
13.8,75.0,19.6,non-owner
8.5,82.8,22.4,owner
22.12,33.0,18.8,non-owner
19.4,59.4,16.0,non-owner
13.9,75.0,19.6,non-owner
20.8,66.0,18.4,non-owner
14.1,52.8,20.8,non-owner
8.6,82.8,22.4,owner
8.7,82.8,22.4,owner
20.9,66.0,18.4,non-owner
16.8,43.2,20.4,non-owner
18.14,49.2,17.6,non-owner
22.13,33.0,18.8,non-owner
13.1,75.0,19.6,non-owner
13.11,75.0,19.6,non-owner
19.5,59.4,16.0,non-owner
2.9,85.5,16.8,owner
12.3,81.0,20.0,owner
12.4,81.0,20.0,owner
3.3,64.8,21.6,owner
13.12,75.0,19.6,non-owner
8.8,82.8,22.4,owner
4.1,61.5,20.8,owner
15.11,64.8,17.2,non-owner
13.13,75.0,19.6,non-owner
11.5,51.0,22.0,owner
17.17,84.0,17.6,non-owner
16.9,43.2,20.4,non-owner
2.1,85.5,16.8,owner
18.15,49.2,17.6,non-owner
23.5,51.0,14.0,non-owner
21.9,47.4,16.4,non-owner
20.1,66.0,18.4,non-owner
10.1,93.0,20.8,owner
1.1,60.0,18.4,owner
19.6,59.4,16.0,non-owner
14.11,52.8,20.8,non-owner
15.12,64.8,17.2,non-owner
10.11,93.0,20.8,owner
7.13,108.0,17.6,owner
4.11,61.5,20.8,owner
4.12,61.5,20.8,owner
24.5,63.0,14.8,non-owner
3.4,64.8,21.6,owner
3.5,64.8,21.6,owner
15.13,64.8,17.2,non-owner
15.14,64.8,17.2,non-owner
4.13,61.5,20.8,owner
4.14,61.5,20.8,owner
12.5,81.0,20.0,owner
18.16,49.2,17.6,non-owner
6.1,110.1,19.2,owner
18.17,49.2,17.6,non-owner
7.14,108.0,17.6,owner
12.6,81.0,20.0,owner
20.11,66.0,18.4,non-owner
5.8,87.0,23.6,owner
8.9,82.8,22.4,owner
18.18,49.2,17.6,non-owner
1.11,60.0,18.4,owner
19.7,59.4,16.0,non-owner
17.18,84.0,17.6,non-owner
6.11,110.1,19.2,owner
11.6,51.0,22.0,owner
6.12,110.1,19.2,owner
9.7,69.0,20.0,owner
7.15,108.0,17.6,owner
22.14,33.0,18.8,non-owner
13.14,75.0,19.6,non-owner
22.15,33.0,18.8,non-owner
12.7,81.0,20.0,owner
16.1,43.2,20.4,non-owner
22.16,33.0,18.8,non-owner
21.1,47.4,16.4,non-owner
7.16,108.0,17.6,owner
17.19,84.0,17.6,non-owner
21.11,47.4,16.4,non-owner
17.2,84.0,17.6,non-owner
17.21,84.0,17.6,non-owner
14.12,52.8,20.8,non-owner
17.22,84.0,17.6,non-owner
18.19,49.2,17.6,non-owner
1.12,60.0,18.4,owner
20.12,66.0,18.4,non-owner
8.1,82.8,22.4,owner
13.15,75.0,19.6,non-owner
21.12,47.4,16.4,non-owner
13.16,75.0,19.6,non-owner
9.8,69.0,20.0,owner
18.2,49.2,17.6,non-owner
2.11,85.5,16.8,owner
16.11,43.2,20.4,non-owner
7.17,108.0,17.6,owner
1.13,60.0,18.4,owner
20.13,66.0,18.4,non-owner
6.13,110.1,19.2,owner
2.12,85.5,16.8,owner
18.21,49.2,17.6,non-owner
13.17,75.0,19.6,non-owner
3.6,64.8,21.6,owner
1.14,60.0,18.4,owner
1.15,60.0,18.4,owner
11.7,51.0,22.0,owner
8.11,82.8,22.4,owner
1.16,60.0,18.4,owner
16.12,43.2,20.4,non-owner
11.8,51.0,22.0,owner
13.18,75.0,19.6,non-owner
9.9,69.0,20.0,owner
17.23,84.0,17.6,non-owner
3.7,64.8,21.6,owner
20.14,66.0,18.4,non-owner
19.8,59.4,16.0,non-owner
2.13,85.5,16.8,owner
12.8,81.0,20.0,owner
23.6,51.0,14.0,non-owner
19.9,59.4,16.0,non-owner
7.18,108.0,17.6,owner
11.9,51.0,22.0,owner
17.24,84.0,17.6,non-owner
20.15,66.0,18.4,non-owner
11.1,51.0,22.0,owner
15.15,64.8,17.2,non-owner
7.19,108.0,17.6,owner
20.16,66.0,18.4,non-owner
16.13,43.2,20.4,non-owner
16.14,43.2,20.4,non-owner
22.17,33.0,18.8,non-owner
21.13,47.4,16.4,non-owner
11.11,51.0,22.0,owner
19.1,59.4,16.0,non-owner
13.19,75.0,19.6,non-owner
11.12,51.0,22.0,owner
20.17,66.0,18.4,non-owner
3.8,64.8,21.6,owner
23.7,51.0,14.0,non-owner
7.2,108.0,17.6,owner
16.15,43.2,20.4,non-owner
8.12,82.8,22.4,owner
20.18,66.0,18.4,non-owner
19.11,59.4,16.0,non-owner
18.22,49.2,17.6,non-owner
13.2,75.0,19.6,non-owner
14.13,52.8,20.8,non-owner
18.23,49.2,17.6,non-owner
23.8,51.0,14.0,non-owner
10.12,93.0,20.8,owner
7.21,108.0,17.6,owner
7.22,108.0,17.6,owner
22.18,33.0,18.8,non-owner
6.14,110.1,19.2,owner
6.15,110.1,19.2,owner
1.17,60.0,18.4,owner
1.18,60.0,18.4,owner
7.23,108.0,17.6,owner
1.19,60.0,18.4,owner
7.24,108.0,17.6,owner
3.9,64.8,21.6,owner
9.1,69.0,20.0,owner
6.16,110.1,19.2,owner
19.12,59.4,16.0,non-owner
13.21,75.0,19.6,non-owner
9.11,69.0,20.0,owner
15.16,64.8,17.2,non-owner
9.12,69.0,20.0,owner
18.24,49.2,17.6,non-owner
7.25,108.0,17.6,owner
10.13,93.0,20.8,owner
18.25,49.2,17.6,non-owner
1.2,60.0,18.4,owner
10.14,93.0,20.8,owner
9.13,69.0,20.0,owner
14.14,52.8,20.8,non-owner
18.26,49.2,17.6,non-owner
21.14,47.4,16.4,non-owner
12.9,81.0,20.0,owner
10.15,93.0,20.8,owner
16.16,43.2,20.4,non-owner
9.14,69.0,20.0,owner
11.13,51.0,22.0,owner
14.15,52.8,20.8,non-owner
14.16,52.8,20.8,non-owner
14.17,52.8,20.8,non-owner
6.17,110.1,19.2,owner
1.21,60.0,18.4,owner
16.17,43.2,20.4,non-owner
18.27,49.2,17.6,non-owner
22.19,33.0,18.8,non-owner
1.22,60.0,18.4,owner
22.2,33.0,18.8,non-owner
21.15,47.4,16.4,non-owner
21.16,47.4,16.4,non-owner
11.14,51.0,22.0,owner
15.17,64.8,17.2,non-owner
4.15,61.5,20.8,owner
20.19,66.0,18.4,non-owner
21.17,47.4,16.4,non-owner
11.15,51.0,22.0,owner
2.14,85.5,16.8,owner
14.18,52.8,20.8,non-owner
8.13,82.8,22.4,owner
6.18,110.1,19.2,owner
1.23,60.0,18.4,owner
15.18,64.8,17.2,non-owner
4.16,61.5,20.8,owner
2.15,85.5,16.8,owner
17.25,84.0,17.6,non-owner
18.28,49.2,17.6,non-owner
20.2,66.0,18.4,non-owner
14.19,52.8,20.8,non-owner
3.1,64.8,21.6,owner
8.14,82.8,22.4,owner
8.15,82.8,22.4,owner
4.17,61.5,20.8,owner
21.18,47.4,16.4,non-owner
12.1,81.0,20.0,owner
13.22,75.0,19.6,non-owner
21.19,47.4,16.4,non-owner
15.19,64.8,17.2,non-owner
19.13,59.4,16.0,non-owner
9.15,69.0,20.0,owner
1.24,60.0,18.4,owner
16.18,43.2,20.4,non-owner
18.29,49.2,17.6,non-owner
6.19,110.1,19.2,owner
4.18,61.5,20.8,owner
12.11,81.0,20.0,owner
16.19,43.2,20.4,non-owner
20.21,66.0,18.4,non-owner
17.26,84.0,17.6,non-owner
11.16,51.0,22.0,owner
13.23,75.0,19.6,non-owner
8.16,82.8,22.4,owner
12.12,81.0,20.0,owner
6.2,110.1,19.2,owner
2.16,85.5,16.8,owner
3.11,64.8,21.6,owner
22.21,33.0,18.8,non-owner
21.2,47.4,16.4,non-owner
8.17,82.8,22.4,owner
24.6,63.0,14.8,non-owner
10.16,93.0,20.8,owner
15.2,64.8,17.2,non-owner
19.14,59.4,16.0,non-owner
16.2,43.2,20.4,non-owner
13.24,75.0,19.6,non-owner
17.27,84.0,17.6,non-owner
2.17,85.5,16.8,owner
21.21,47.4,16.4,non-owner
1.25,60.0,18.4,owner
23.9,51.0,14.0,non-owner
1.26,60.0,18.4,owner
10.17,93.0,20.8,owner
17.28,84.0,17.6,non-owner
6.21,110.1,19.2,owner
16.21,43.2,20.4,non-owner
17.29,84.0,17.6,non-owner
5.9,87.0,23.6,owner
18.3,49.2,17.6,non-owner
17.3,84.0,17.6,non-owner
15.21,64.8,17.2,non-owner
14.2,52.8,20.8,non-owner
5.1,87.0,23.6,owner
13.25,75.0,19.6,non-owner
3.12,64.8,21.6,owner
22.22,33.0,18.8,non-owner
14.21,52.8,20.8,non-owner
1.27,60.0,18.4,owner
13.26,75.0,19.6,non-owner
23.1,51.0,14.0,non-owner
24.7,63.0,14.8,non-owner
5.11,87.0,23.6,owner
7.26,108.0,17.6,owner
17.31,84.0,17.6,non-owner
12.13,81.0,20.0,owner
13.27,75.0,19.6,non-owner
11.17,51.0,22.0,owner
3.13,64.8,21.6,owner
13.28,75.0,19.6,non-owner
10.18,93.0,20.8,owner
21.22,47.4,16.4,non-owner
4.19,61.5,20.8,owner
7.27,108.0,17.6,owner
14.22,52.8,20.8,non-owner
9.16,69.0,20.0,owner
3.14,64.8,21.6,owner
12.14,81.0,20.0,owner
3.15,64.8,21.6,owner
8.18,82.8,22.4,owner
11.18,51.0,22.0,owner
16.22,43.2,20.4,non-owner
9.17,69.0,20.0,owner
6.22,110.1,19.2,owner
19.15,59.4,16.0,non-owner
17.32,84.0,17.6,non-owner
21.23,47.4,16.4,non-owner
13.29,75.0,19.6,non-owner
